Internal Status,Site ID,Site Name,Longitude,Latitude,Site Type,Height Of Site,Account Name,Approved Report Date,Structural Report Comment,Overall Status,Total FPA,Total EPA,Foundation Status (Existing),Capacity Status (Existing),Structure Capacity (Existing),Epa (Existing),Bearing FOS (Existing),Capacity Status (+1 Operator/Additional),Structure Capacity (+1 Operator/Additional),Epa (+1 Operator/Additional),Bearing FOS (+1 Operator/Additional),Capacity Status (+2 Operator/Additional),Structure Capacity (+2 Operator/Additional),Epa (+2 Operator/Additional),Bearing FOS (+2 Operator/Additional),Capacity Status (Maximum),Structure Capacity (Maximum),Epa (Maximum),Bearing (Maximum),QA Status,Site Condition,Capacity Status (Existing),Leg Member Stress (Existing),Brace Member Stress (Existing),Horz Member Stress (Existing),Leg Bolt Stress (Existing),Brace Bolt Stress (Existing),Horz Bolt Stress (Existing),Wires Stress (Existing),Foundation (Existing),HDB (Existing),Capacity Status (+1 Operator/Additional),Leg Member Stress (+1 Operator/Additional),Brace Member Stress (+1 Operator/Additional),Horz Member Stress (+1 Operator/Additional),Leg Bolt Stress (+1 Operator/Additional),Brace Bolt Stress (+1 Operator/Additional),Horz Bolt Stress (+1 Operator/Additional),Wires Stress (+1 Operator/Additional),Foundation(+1 Operator/Additional),HDB (+1 Operator/Additional),Capacity Status (+2 Operator/Additional),Leg Member Stress (+2 Operator/Additional),Brace Member Stress (+2 Operator/Additional),Horz Member Stress (+2 Operator/Additional),Leg Bolt Stress (+2 Operator/Additional),Brace Bolt Stress (+2 Operator/Additional),Horz Bolt Stress (+2 Operator/Additional),Wires Stress (+2 Operator/Additional),Foundation(+2 Operator/Additional),HDB (+2 Operator/Additional),BOM Weight (Legs),BOM Weight (Brace),BOM Type,Foundation Type,Leg Steel Grade,Brace Steel Grade ,Site Risk Rating,Audit Status,Topography,Exposure,Actual Condition Risk,Site/Tower Risk Profile,Population,Wind Speed,Master Comment,Superseded Structural Reports,Pending Structural Reports,Approved Structural Reports,Site Report Received,Structural Report Created,Latest Site Audit Uploaded Date,Latest Site Drawing Set Uploaded Date, Legacy ID, Site Audit Description, Modelling Program
Status Set,4133,Usagara,32.99901,-2.68311,Structure-Lattice Tower,50,Helios Tanzania,10/4/2018,"V3_Structural Analysis_E.C.Foundation enhancement done on site, QA Audit 22/03/2018Equipment added: 1no. MW Dishes 0.6m @30m [RFI 27/02/2020]Equipment added: 1no. MW Dishes 0.3m @17m [RFI 27/02/2020]Equipment added: 1no. RRUs 0.42x0.4x0.115 @Same as existing RRUm, [RFI 27/04/2020]",Amber,,,Green,Green,100,14.9,,Amber,107,18.1,,NotSet,,,,NotSet,,,,Pass,Amber,Green,71,100,59,59,58,48,,,,Amber,75,107,64,63,63,53,,4.81,NI,NotSet,,,,,,,,,,,,,Piled,275,235,,DelmecInspected,1,C,4,4,3,29,,5,0,1,7/11/2017,10/4/2018,23/11/2017,7/12/2017,,Structural Survey Audit,MS Tower v6
Pending,4134,Katahoka_UCSAF,31.3952,-2.73427,,50,Helios Tanzania,,,NotSet,,,NotSet,NotSet,,,,NotSet,,,,NotSet,,,,NotSet,,,,,NotSet,NotSet,,,,,,,,,,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,,,,Unaudited,,C,,,,,,0,0,0,01/01/0001,01/01/0001,27/02/2024,27/02/2024,,Special Site Inspection,
Status Set,4136,Bwanga,31.75716,-3.03834,Structure-Lattice Tower,50,Helios Tanzania,17/08/2023,Tower strengthened on site to v2.0 Delmec report. QA Audit 26/03/2018. Foundation enhancement done on site. QA Audit 11/07/2023,Amber,,,Green,Green,95,11.2,,Green,100,14.4,,Amber,115,17.5,,NotSet,,,,Pass,Amber,Green,93,95,93,89,95,91,,2.37,76,Green,100,100,100,100,100,97,,2.12,85,Amber,115,113,109,113,114,104,,1.95,92,,,,Piled,275,235,49,DelmecInspected,3,C,4,1,1,40,,3,0,1,11/7/2023,17/08/2023,25/10/2022,13/11/2017,,Special Site Inspection,MS Tower v6
Status Set,4137,Kayenze,33.0849,-2.40579,Structure-Lattice Tower,50,Helios Tanzania,13/02/2019,"V2_Structural Analysis_BLS. 	",Green,,,NI,Green,99,13,,Amber,108,16.1,,Amber,117,19.3,,NotSet,,,,,Green,Green,43,99,22,28,15,6,,,22,Amber,49,108,26,32,16,7,,,25,Amber,54,117,28,35,18,8,,,27,0,267.3,1,NI,355,275,,DelmecInspected,1,C,5,1,3,29,,2,0,1,2/2/2019,13/02/2019,12/2/2019,26/02/2019,,Structural Survey Audit,MS Tower v6
Status Set,4138,Mabale Hill,32.82267,-3.06531,Structure-Lattice Tower,50,Helios Tanzania,2/4/2019,"V6_Structural Analysis_LAG. 	",Amber,,,NI,Amber,111,34.6,,Amber,125,37.7,,NotSet,,,,NotSet,,,,Pass,Green,Amber,111,69,63,100,58,22,,,83,Amber,125,72,68,110,63,24,,,88,NotSet,,,,,,,,,,,,,NI,355,275,,DelmecInspected,3,C,5,4,3,29,,7,1,1,27/03/2019,2/4/2019,28/03/2019,12/4/2019,,Structural Survey Audit,MS Tower v6
Status Set,4139,Bwiru,32.88618,-2.46863,Structure-Lattice Tower,50,Helios Tanzania,25/09/2019,Tower strengthened on site to V5.0 Delmec report. QA Audit 02/09/2019.,Amber,,,Green,Green,,11.7,,Green,93,24.8,,NotSet,,,,NotSet,,,,Pass,Amber,Green,,,,,,,,,,Green,71,93,36,49,36,11,,2.83,43,NotSet,,,,,,,,,,,,,UpgradedPiled,355,275,,DelmecInspected,3,D,4,1,3,29,,6,0,1,2/9/2019,25/09/2019,19/06/2019,19/01/2018,,TSS Audit,MS Tower v6
Status Set,4140,Kiseke,32.94937,-2.49263,Structure-Lattice Tower,36,Helios Tanzania,10/1/2018,V2_Structural Analysis_BP. ,Amber,,,Green,Green,68,5.7,,Green,75,8.8,,Green,83,12,,NotSet,,,,,Amber,Green,49,68,38,40,45,24,,6.83,17,Green,59,75,45,48,50,29,,5.71,21,Green,66,83,54,54,55,34,,5.05,24,,,,Piled,355,275,53,DelmecInspected,1,C,4,4,2,29,,2,0,1,19/12/2017,10/1/2018,8/1/2018,11/1/2018,,Structural Survey Audit,MS Tower v6
Status Set,4143,Nyamwaga,34.58834,-1.39771,Structure-Lattice Tower,50,Helios Tanzania,28/10/2019,Foundation enhancement done on site. QA Audit 16/07/2019.Tower strengthened on site to v3.1 Delmec report. QA Audit 09/10/2019,Green,,,Green,Green,,18.7,,Green,99,21.9,,NotSet,,25,,NotSet,,,,Pass,Green,Green,,,,,,,,,,Green,98,99,91,98,97,98,,2.74,80,NotSet,,,,,,,,,,,,,UpgradedPiled,355,275,,DelmecInspected,2,C,5,4,3,29,,9,0,1,9/10/2019,28/10/2019,6/3/2019,25/03/2019,,Structural Survey Audit,MS Tower v6
Status Set,4144,Tarime Town,34.37503,-1.34155,Structure-Lattice Tower,36,Helios Tanzania,10/11/2016,V2.0 Structural Analysis_AW_ No members overstressed,Amber,,,Green,Green,83,11,,Green,90,14.1,,Green,97,17.3,,NotSet,,,,,Amber,Green,71,83,52,50,52,33,,5.44,18,Green,81,90,58,57,56,37,,4.76,20,Green,89,97,66,63,60,42,,4.32,23,,,,Piled,235,235,54,DelmecInspected,1,C,4,5,2,29,,2,0,1,15/10/2016,10/11/2016,26/10/2016,24/10/2016,,Structural Survey Audit,MS Tower v6
Status Set,41444,Sama Moivo,36.70234,-3.35534,Structure-Lattice Tower,35,Helios Tanzania,5/3/2019,"V1_Structural Analysis_AK. 	",Amber,,,NI,Green,29,0.2,,Green,39,3.4,,Green,48,6.5,,NotSet,,,,,Amber,Green,29,27,16,12,10,7,,,10,Green,39,31,19,17,14,8,,,15,Green,48,38,21,21,20,9,,,19,,,,Raft,355,235,,DelmecInspected,1,B,4,5,4,31,,0,0,1,5/3/2019,5/3/2019,5/3/2019,19/03/2019,,Structural Survey Audit,MS Tower v6
Status Set,41445,DARAJA MBILI,36.69456,-3.38884,Structure-Lattice Tower,35,Helios Tanzania,7/3/2019,"V1_Structural Analysis_BL. 	",Green,,,Green,Green,37,0,,Green,50,3.2,,Green,60,6.3,,NotSet,,,,,Green,Green,37,34,20,16,13,8,,8.71,12,Green,50,40,23,22,19,10,,6.43,18,Green,60,51,28,27,27,11,,5.38,22,,,,Raft,355,275,55,DelmecInspected,1,C,5,5,2,31,,0,0,1,25/02/2019,7/3/2019,26/02/2019,19/03/2019,,Structural Survey Audit,MS Tower v6
Status Set,4147,New Kiagata,34.12774,-1.67123,Structure-Lattice Tower,50,Helios Tanzania,24/01/2018,Tower strengthened on site to v3.0 Delmec report. QA Audit 24/01/2018,Green,,,NI,Green,100,13.6,,Amber,117,16.7,,Amber,130,19.9,,NotSet,,,,Pass,Green,Green,100,86,96,100,91,92,,,69,Amber,117,97,103,114,98,101,,,77,Amber,130,112,112,125,109,114,,,84,,,,NI,275,235,,DelmecInspected,3,C,5,1,4,29,,4,0,1,24/01/2018,24/01/2018,22/09/2017,21/09/2017,,TSS Audit,MS Tower v6
Status Set,4149,Sumve,33.22261,-2.75016,Structure-Lattice Tower,50,Helios Tanzania,16/01/2019,"V3.0_Structural Analysis_NE. Members overstressed.	Equipment added: 2no. MW Dishes 1.2/m @30/49m  [RFI 30/05/18]",Amber,,,Green,Amber,119,17.1,,Amber,129,20.3,,Amber,138,23.4,,NotSet,,,,,Green,Amber,49,119,25,32,18,7,,5.42,25,Amber,55,129,28,35,19,8,,4.92,27,Amber,60,138,31,38,20,9,,4.54,30,0,136.4,Existing + 1 Operator,IndividualFooting,355,275,53,DelmecInspected,1,C,5,4,3,29,,3,0,1,13/12/2018,16/01/2019,30/03/2019,15/02/2019,,TSS Audit,MS Tower v6
Status Set,4150,Nyakabindi,33.98748,-2.6465,Structure-Lattice Tower,50,Helios Tanzania,13/01/2023,V4_Structural Analysis_BL. Members overstressed. Tower strengthened on site to V4.0 Delmec report. QA Audit 12/10/2022(Different member sizes used for some parts of the strengthening. See QA for more details. Review strengthening QA before doing further analysis).,Green,,,Green,Green,100,22.8,,NotSet,,26,,NotSet,,29.1,,NotSet,,,,Pass,Green,Green,100,91,97,98,100,99,,1.71,NI,NotSet,,,,,,,,1.56,NI,NotSet,,,,,,,,1.43,NI,,,,Piled,355,355,51,DelmecInspected,3,C,5,4,3,40,,6,0,1,12/10/2022,13/01/2023,1/12/2018,4/2/2019,,TSS Audit,MS Tower v6
Status Set,4151,Kibara,33.45061,-2.15118,Structure-Lattice Tower,50,Helios Tanzania,21/10/2019,V2_Structural Analysis_BP. Foundation enhancement done on site to V1.0 PFE. QA Audit 08/09/2019. ,Green,,,Green,Green,57,4.4,,Green,64,7.6,,Green,72,10.7,,NotSet,,,,Pass,Green,Green,55,49,57,46,51,39,,,,Green,64,54,63,54,57,45,,,,Green,72,62,68,61,62,52,,5.67,,,,,UpgradedPiled,275,235,,DelmecInspected,1,D,5,4,1,29,,4,0,1,8/9/2019,21/10/2019,30/03/2019,28/02/2018,,TSS Audit,MS Tower v6
Status Set,4152,Nansio Posta,33.08831,-2.10555,Structure-Lattice Tower,50,Helios Tanzania,27/03/2019,"V4_Structural Analysis_BL. 	",Green,,,NI,Green,95,23.9,,NotSet,,,,NotSet,,,,NotSet,,,,Pass,Green,Green,67,95,35,42,25,9,,,34,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,355,355,,DelmecInspected,1,D,5,4,1,29,,5,0,1,9/3/2019,27/03/2019,26/03/2019,5/4/2019,,Structural Survey Audit,MS Tower v6
Status Set,4153,Kanoni,31.03454,-1.34909,Structure-Lattice Tower,50,Helios Tanzania,24/08/2020,V2.1_Structural Analysis_AB. Members overstressed.,Amber,,,Green,Amber,126,3,,Amber,138,6.2,,Red,153,9.4,,NotSet,,,,Pass,Amber,Amber,113,126,73,111,63,11,,3.94,60,Amber,133,138,86,136,82,13,,3.39,71,Red,150,153,97,147,95,14,,3.03,81,,,,Raft,345,235,45,Unaudited,3,C,4,3,1,40,,2,0,1,20/08/2020,24/08/2020,,14/03/2019,,,MS Tower v6
Status Set,4154,Gwanumpu,30.74393,-3.427,Structure-Lattice Tower,50,Helios Tanzania,25/05/2018,"V3_Structural Analysis_BTS_NE. 	- BTS tower installed as per Delmec report. QA Audit 22/08/2018**RFI from ""Inventory Database for Q3"" Added: 3no. GSM Antennas 2.0x0.25x0.13m @48m az 10/130/250deg**",Amber,,,Green,Amber,103,6.5,,Amber,114,9.6,,NotSet,,,,NotSet,,,,Pass,Amber,Amber,90,103,58,87,53,9,,3.92,48,Amber,102,114,66,95,64,10,,3.46,55,NotSet,,,,,,,,,,,,,Raft,345,235,49,DelmecInspected,3,C,4,1,3,40,,2,0,1,21/12/2017,25/05/2018,,14/03/2019,,,MS Tower v6
Status Set,4155,Nyehunge,32.24452,-2.58125,Structure-Lattice Tower,50,Helios Tanzania,28/04/2020,"V1_Structural Analysis_NE. 	",Green,,,Green,Green,70,2.7,,Green,78,5.9,,Green,87,9.1,,NotSet,,,,Fail,Green,Green,55,70,28,49,51,22,,2.18,51,Green,67,78,30,59,56,24,,1.85,62,Green,78,87,38,69,62,30,,1.63,72,,,,Raft,355,275,55,DelmecInspected,3,C,5,4,3,29,,1,0,1,19/02/2020,28/04/2020,27/04/2020,14/03/2019,,Structural Survey Audit,MS Tower v6
Status Set,4156,Halwego,32.97572,-2.0214,Structure-Lattice Tower,50,Helios Tanzania,22/03/2019,"V2_Structural Analysis_LAG. 	",Amber,,,NI,Green,98,15.8,,Amber,107,18.9,,Amber,116,22.1,,NotSet,,,,,Amber,Green,40,98,21,26,14,6,,,20,Amber,46,107,23,29,16,6,,,23,Amber,50,116,26,32,17,7,,,25,0,575.4,Existing +2 Operator,NI,355,275,,DelmecInspected,1,C,2,1,3,29,,1,0,1,12/3/2019,22/03/2019,15/03/2019,29/03/2019,,Structural Survey Audit,MS Tower v6
Status Set,4157,Ushetu,32.24035,-4.07151,Structure-Lattice Tower,50,Helios Tanzania,27/04/2020,"V1_Structural Analysis_AG. Members overstressed.	",Amber,,,Green,Amber,117,2.9,,Amber,130,6.1,,Amber,140,9.2,,NotSet,,,,Fail,Amber,Amber,88,117,74,79,54,19,,5.09,60,Amber,105,130,86,94,71,22,,4.35,73,Amber,119,140,98,107,80,25,,3.86,83,0,528,"Existing, +1 OP",Raft,355,275,50,DelmecInspected,3,C,4,1,4,40,,2,0,1,17/02/2020,27/04/2020,27/04/2020,14/03/2019,,Structural Survey Audit,MS Tower v6
Status Set,4158,Majita,33.39735,-1.83481,Structure-Lattice Tower,50,Helios Tanzania,17/03/2017,Tower strengthened on site to v5.0 Delmec report. QA Audit 17/03/2017,Green,,,Green,Green,,16.9,,Green,,20.1,,Green,100,23.2,,NotSet,,,,Pass,Green,Green,,,,,,,,5.25,32,Green,,,,,,,,4.63,36,Green,100,85,81,85,59,58,,4.24,39,,,,Piled,,,,DelmecInspected,1,C,5,4,1,29,,7,0,1,17/03/2017,17/03/2017,3/11/2017,20/10/2016,,QA Audit,MS Tower v6
Status Set,4159,Iramba,33.41119,-1.98387,Structure-Lattice Tower,50,Helios Tanzania,7/7/2020,Tower strengthened on site to v3.0 Delmec report. QA Audit 04/11/2017. Foundation enhancement done on site to V1.0 PFE report. QA Audit 16/06/2020. ,Green,,,Green,Green,79,11,,Green,88,14.1,,Green,100,17.3,,NotSet,,,,Pass,Green,Green,54,79,54,46,48,39,,,,Green,64,88,59,54,53,44,,,,Green,71,100,64,60,57,50,,5.84,,,,,UpgradedPiled,275,235,,DelmecInspected,1,C,5,4,3,29,,5,0,1,16/06/2020,7/7/2020,1/4/2019,28/02/2018,,TSS Audit,MS Tower v6
Status Set,4160,Ikizu,34.0436,-1.90367,Structure-Lattice Tower,50,Helios Tanzania,27/03/2019,"V2.0_Structural Analysis_AV. 	",Green,,,NI,Green,66,12.5,,Green,75,15.6,,Green,82,18.8,,NotSet,,,,,Green,Green,66,47,26,52,20,8,,,30,Green,75,51,30,59,23,9,,,33,Green,82,54,33,64,25,10,,,36,,,,NI,355,355,,DelmecInspected,1,C,5,4,3,29,,2,0,1,22/03/2019,27/03/2019,25/03/2019,5/4/2019,,Structural Survey Audit,MS Tower v6
Status Set,4161,Mugeta,34.2206,-1.95089,Structure-Lattice Tower,50,Helios Tanzania,2/8/2017,V2_Structural Analysis_GF. Members overstressed,Amber,,,Green,Amber,130,7,,Amber,145,10.2,,Red,159,13.4,,NotSet,,,,,Green,Amber,54,130,23,30,22,9,,2.79,26,Amber,62,145,27,35,23,12,,2.43,29,Red,68,159,30,38,25,12,,2.2,32,,1630.5,,IndividualFooting,275,235,53,DelmecInspected,3,C,5,4,3,29,No Site Photographs,2,0,1,15/07/2017,2/8/2017,1/8/2017,21/09/2017,,Structural Survey Audit,MS Tower v6
Pending,4162,Ruziba UCSAF,31.31673,-2.58427,Greenfield-Lattice Tower,50,Helios Tanzania,,,NotSet,,,NotSet,NotSet,,,,NotSet,,,,NotSet,,,,NotSet,,,,,Amber,NotSet,,,,,,,,,,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,,,,Unaudited,,C,2,,,40,,0,1,0,01/01/0001,01/01/0001,,,,,
Status Set,4163,Fort Ikoma,34.6367,-2.08764,Structure-Lattice Tower,72,Helios Tanzania,20/03/2019,"V3_Structural Analysis_EG. 	",Amber,,,Green,Green,49,11.4,,Green,54,14.6,,Green,59,17.7,,NotSet,,,,Pass,Amber,Green,49,42,36,47,43,35,,2.11,26,Green,54,47,38,53,46,41,,1.9,29,Green,59,54,41,59,50,48,,1.73,33,,,,Raft,355,275,54,DelmecInspected,2,C,4,4,3,29,,4,0,1,8/3/2019,20/03/2019,30/03/2019,5/4/2019,,TSS Audit,MS Tower v6
Status Set,41641,Mtindili,38.21337,-4.51466,Structure-Lattice Tower,44.85,Helios Tanzania,8/3/2019,V1_Structural Analysis_BP. ,Green,,,Green,Green,76,0,,Green,92,3.2,,Amber,106,6.3,,NotSet,,,,,Green,Green,49,76,67,36,32,22,,7.73,41,Green,67,92,78,50,39,25,,5.99,56,Amber,81,106,94,60,53,28,,5.08,68,,,,Raft,355,275,52,DelmecInspected,2,C,5,1,3,30,,0,0,1,17/02/2019,8/3/2019,6/3/2019,15/03/2019,,Structural Survey Audit,MS Tower v6
Status Set,41642,kilinjiko,37.76571,-4.2093,Structure-Lattice Tower,46,Helios Tanzania,22/11/2017,"V1_Structural Analysis_E.C. Members overstressed.	",Amber,,,NI,Amber,144,0,,Red,165,3.2,,Red,183,6.3,,NotSet,,,,,Amber,Amber,46,144,65,40,25,22,,,18,Red,57,165,75,50,28,25,,,24,Red,66,183,84,57,31,28,,,28,,,,NI,275,235,,DelmecInspected,1,C,2,4,3,35,,0,0,1,20/11/2017,22/11/2017,22/11/2017,11/12/2017,,Structural Survey Audit,MS Tower v6
Pending,4165,Chanika UCSAF,31.08017,-1.44907,Structure-Lattice Tower,50,Helios Tanzania,,,NotSet,,,NotSet,NotSet,,,,NotSet,,,,NotSet,,,,NotSet,,,,,NotSet,NotSet,,,,,,,,,,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,,,,Unaudited,,C,,,,40,,0,1,0,01/01/0001,01/01/0001,,,,,
Status Set,4166,Ilogi,32.40657,-3.30814,Structure-Lattice Tower,50,Helios Tanzania,20/08/2018,"V4_Structural Analysis_PMcC.**RFI from ""Inventory Database for Q3"" Added: 3no. GSM Antennas 2.57x0.26x0.1m @47m az 50/170/290deg, 3no. GSM Antennas 1.35x0.17x0.08m @47m az 50/170/290deg**Equipment added: 3no. GSM Antennas 2.735x0.262x0.15 @47m,3no. RRUs 0.4x0.3x0.1 @47m, [RFI 19/02/2020]Equipment added: 3no. GSM Antennas 2x0.298x0.125 @48.99m,1no. RRUs 0.42x0.4x0.115 @48.99m, [RFI 27/04/2020]",Amber,,,Green,Amber,108,14.8,,NotSet,,,,NotSet,,,,NotSet,,,,Pass,Green,Amber,96,93,104,107,108,81,,2.51,NI,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,Piled,355,355,43,DelmecInspected,1,C,5,4,1,40,,5,0,1,6/8/2018,20/08/2018,16/08/2018,27/08/2018,,Structural Survey Audit,MS Tower v6
Status Set,4167,Buzwagi,32.67151,-3.84836,Structure-Lattice Tower,50,Helios Tanzania,1/4/2021,V5_Structural Analysis_AM. Members overstressed. Tower strengthened on the site to V4.0 Delmec report. QA Audit 27/02/2021.,Red,,,Green,Amber,112,11.7,,Amber,137,14.8,,Red,152,18,,NotSet,,,,Pass,Amber,Amber,104,112,99,100,98,88,,2.67,,Amber,123,137,108,115,117,99,,2.37,,Red,137,152,118,127,136,114,,2.16,,,,,Piled,355,355,,DelmecInspected,1,C,3,3,1,40,,7,0,1,27/02/2021,1/4/2021,19/07/2018,17/03/2021,,Structural Survey Audit,MS Tower v6
Status Set,4168,Buckreef,32.0346,-3.1077,Structure-Lattice Tower,72,Helios Tanzania,4/4/2019,"V2_Structural Analysis_SC. 	",Green,,,NI,Green,99,9.4,,Amber,107,12.6,,Amber,115,15.8,,NotSet,,,,,Green,Green,47,99,18,27,20,7,,,24,Amber,54,107,20,30,22,7,,,27,Amber,60,115,22,33,23,8,,,29,,,,NI,355,235,,DelmecInspected,1,C,5,4,3,29,,2,0,1,20/03/2019,4/4/2019,3/4/2019,11/4/2019,,Structural Survey Audit,MS Tower v6
Status Set,4169,Tulawaka Mine,31.58368,-3.22544,Structure-Lattice Tower,72,Helios Tanzania,13/07/2020,V2_Leg Strengthening_RT.  Foundation enhancement done on site to V1.0 PFE report. QA Audit 01/07/2020.,Red,,,Green,Red,267,6.2,,Red,284,9.3,,Red,302,12.5,,NotSet,,,,Pass,Green,Red,91,267,81,74,69,69,,,,Red,103,284,89,86,82,82,,,,Red,116,302,96,97,93,93,,3.57,,,3540.5,+2 Op,UpgradedPiled,275,275,,DelmecInspected,1,C,5,4,5,40,,3,0,1,1/7/2020,13/07/2020,28/03/2019,2/3/2018,,TSS Audit,MS Tower v6
Status Set,4170,Nyakanazi,31.22563,-3.00457,Structure-Lattice Tower,50,Helios Tanzania,18/05/2023,Tower strengthened on site to v4.0 Delmec report. QA Audit 12/01/2019.Foundation enhancement done on site. QA Audit 23/04/2023,Green,,,Green,Green,93,15,,Green,100,18.2,,Amber,111,21.3,,NotSet,,,,Pass,Green,Green,90,90,93,87,91,92,,1.84,98,Green,100,97,100,100,99,100,,1.67,NI,Amber,110,104,108,111,108,109,,1.54,NI,,,,Piled,355,355,55,DelmecInspected,2,C,5,4,3,40,,5,0,1,23/04/2023,18/05/2023,6/2/2023,19/07/2018,,Special Site Inspection,MS Tower v6
Status Set,41708,Olasiti,36.65527,-3.41373,Structure-Lattice Tower,36,Helios Tanzania,13/03/2019,V1_Structural Analysis_BP. ,Amber,,,Green,Green,68,1.7,,Green,85,4.9,,Amber,102,8,,NotSet,,,,,Amber,Green,31,68,55,32,32,28,,6.84,14,Green,39,85,67,40,40,34,,5.46,19,Amber,46,102,80,47,47,40,,4.71,22,,,,Raft,355,275,54,DelmecInspected,1,C,4,5,2,31,,0,0,1,24/02/2019,13/03/2019,7/3/2019,15/04/2019,,Structural Survey Audit,MS Tower v6
Pending,4171,Chonyonyo UCSAF,31.05272,-1.59656,Structure-Lattice Tower,,Helios Tanzania,,,NotSet,,,NotSet,NotSet,,,,NotSet,,,,NotSet,,,,NotSet,,,,,NotSet,NotSet,,,,,,,,,,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,,,,Unaudited,,C,,,,,,0,1,0,01/01/0001,01/01/0001,,,,,
Status Set,4172,Nkwenda,30.90379,-1.50186,Structure-Lattice Tower,50,Helios Tanzania,11/3/2021,"V5.1_BTS_AK_Members overstressed. BTS tower built on site. QA Audit 30/01/2021. Tower is strengthened on the site to V5.1 Delmec report. Foundation status based on as built drawing provided on the site to V5.0 Delmec report.Equipment added  , 1no. RRU 0.42x0.4x0.115m @ Same as existing RRU, Near Antenna   [RFI 23/01/20]",Green,,,Green,Green,,27.7,,Green,100,30.8,,NotSet,,,,NotSet,,,,Pass,Green,Green,,,,,,,,,,Green,65,99,88,59,100,17,,,41,NotSet,,,,,,,,,,,,,IndividualFooting,345,235,,DelmecInspected,3,C,5,1,3,40,,7,0,1,30/01/2021,11/3/2021,26/02/2020,30/11/2020,,TSS Audit,MS Tower v6
Status Set,4173,Muhoji,33.68964,-1.95472,Structure-Lattice Tower,50,Helios Tanzania,8/11/2017,Tower strengthened on site to v2.0 Delmec report. QA Audit 08/11/2017,Amber,,,Green,Green,69,13.2,,Green,81,16.3,,Green,90,19.5,,NotSet,,,,Pass,Amber,Green,69,59,52,58,51,40,,5.97,27,Green,81,67,57,68,56,46,,5.18,32,Green,90,78,61,76,60,53,,4.66,36,,,,Piled,275,235,54,DelmecInspected,1,C,4,4,3,29,,4,0,1,8/11/2017,8/11/2017,29/03/2019,2/3/2018,,TSS Audit,MS Tower v6
Status Set,4174,Nansimo Hill,33.3627,-2.16425,Structure-Lattice Tower,50,Helios Tanzania,14/03/2019,"V4_Structural Analysis_JC. Members overstressed.	",Red,,,NI,Red,175,64.2,,Red,182,67.4,,Red,189,70.5,,NotSet,,,,Pass,Amber,Red,87,127,115,106,164,175,,,NI,Red,112,166,119,119,170,182,,,NI,Red,126,183,123,129,177,189,,,NI,,1417.3,Existing,NI,355,355,,DelmecInspected,3,D,4,1,4,29,,6,0,1,14/03/2019,14/03/2019,14/03/2019,22/03/2019,,Structural Survey Audit,MS Tower v6
Status Set,4175,Kasulu Town,30.0966,-4.56364,Structure-Lattice Tower,50,Helios Tanzania,25/08/2017,Tower strengthened on site to v3.0 Delmec report. QA Audit 22/05/2018,Amber,,,Green,Green,,11.1,,Green,,14.3,,Green,100,17.5,,NotSet,,,,Pass,Amber,Green,,,,,,,,2.19,55,Green,,,,,,,,1.92,63,Green,100,100,100,100,100,97,,1.76,69,,,,Piled,275/355,235/275,,DelmecInspected,2,C,4,4,3,40,,4,0,1,1/8/2017,25/08/2017,15/05/2018,11/9/2017,,TSS Audit,MS Tower v6
Pending,4176,Kamagambo UCSAF,30.8812,-1.60335,Structure-Lattice Tower,,Helios Tanzania,,,NotSet,,,NotSet,NotSet,,,,NotSet,,,,NotSet,,,,NotSet,,,,,NotSet,NotSet,,,,,,,,,,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,,,,Unaudited,,C,,,,,,0,1,0,01/01/0001,01/01/0001,,,,,
Status Set,4177,Nyamikoma,33.69736,-2.32119,Structure-Lattice Tower,50,Helios Tanzania,15/03/2019,"V2_Structural Analysis_JKA. Members overstressed.	",Amber,,,NI,Amber,122,18.1,,Amber,131,21.3,,Amber,144,24.4,,NotSet,,,,,Amber,Amber,45,122,24,31,21,7,,,26,Amber,50,131,27,35,23,7,,,29,Amber,55,144,30,38,24,8,,,32,0,757.2,Existing,NI,355,235,,DelmecInspected,3,C,2,1,5,29,,2,0,1,11/2/2019,15/03/2019,12/3/2019,21/03/2019,,Structural Survey Audit,MS Tower v6
Status Set,4178,Igombe,32.97369,-2.39464,Structure-Lattice Tower,50,Helios Tanzania,4/1/2019,"V2_Structural Analysis_BLS. Members overstressed.	",Amber,,,Green,Green,95,12,,Amber,123,18.3,,Amber,149,24.5,,NotSet,,,,,Amber,Green,75,95,27,59,27,9,,2.76,43,Amber,86,123,34,68,33,12,,2.48,48,Amber,95,149,39,75,40,15,,2.28,52,,,,Raft,355,355,48,DelmecInspected,3,D,3,1,3,29,No Site Photographs,2,0,1,12/12/2018,4/1/2019,2/1/2019,8/2/2019,,Structural Survey Audit,MS Tower v6
