Internal Status,Site ID,Site Name,Longitude,Latitude,Site Type,Height Of Site,Account Name,Approved Report Date,Structural Report Comment,Overall Status,Total FPA,Total EPA,Foundation Status (Existing),Capacity Status (Existing),Structure Capacity (Existing),Epa (Existing),Bearing FOS (Existing),Capacity Status (+1 Operator/Additional),Structure Capacity (+1 Operator/Additional),Epa (+1 Operator/Additional),Bearing FOS (+1 Operator/Additional),Capacity Status (+2 Operator/Additional),Structure Capacity (+2 Operator/Additional),Epa (+2 Operator/Additional),Bearing FOS (+2 Operator/Additional),Capacity Status (Maximum),Structure Capacity (Maximum),Epa (Maximum),Bearing (Maximum),QA Status,Site Condition,Capacity Status (Existing),Leg Member Stress (Existing),Brace Member Stress (Existing),Horz Member Stress (Existing),Leg Bolt Stress (Existing),Brace Bolt Stress (Existing),Horz Bolt Stress (Existing),Wires Stress (Existing),Foundation (Existing),HDB (Existing),Capacity Status (+1 Operator/Additional),Leg Member Stress (+1 Operator/Additional),Brace Member Stress (+1 Operator/Additional),Horz Member Stress (+1 Operator/Additional),Leg Bolt Stress (+1 Operator/Additional),Brace Bolt Stress (+1 Operator/Additional),Horz Bolt Stress (+1 Operator/Additional),Wires Stress (+1 Operator/Additional),Foundation(+1 Operator/Additional),HDB (+1 Operator/Additional),Capacity Status (+2 Operator/Additional),Leg Member Stress (+2 Operator/Additional),Brace Member Stress (+2 Operator/Additional),Horz Member Stress (+2 Operator/Additional),Leg Bolt Stress (+2 Operator/Additional),Brace Bolt Stress (+2 Operator/Additional),Horz Bolt Stress (+2 Operator/Additional),Wires Stress (+2 Operator/Additional),Foundation(+2 Operator/Additional),HDB (+2 Operator/Additional),BOM Weight (Legs),BOM Weight (Brace),BOM Type,Foundation Type,Leg Steel Grade,Brace Steel Grade ,Site Risk Rating,Audit Status,Topography,Exposure,Actual Condition Risk,Site/Tower Risk Profile,Population,Wind Speed,Master Comment,Superseded Structural Reports,Pending Structural Reports,Approved Structural Reports,Site Report Received,Structural Report Created,Latest Site Audit Uploaded Date,Latest Site Drawing Set Uploaded Date, Legacy ID, Site Audit Description, Modelling Program
Status Set,1011,Changombe,39.26423,-6.84551,Structure-Lattice Tower,35,Helios Tanzania,19/10/2017,V3_Structural Analysis_JS. ,Amber,,,NI,Green,89,13.6,,Amber,119,16.7,,Amber,122,19.9,,NotSet,,,,,Amber,Green,89,69,5,51,36,4,,0,30,Amber,119,82,6,60,42,5,,0,35,Amber,122,93,7,67,45,5,,0,39,,,,NI,275,235,46,DelmecInspected,1,C,3,2,2,27,No Site Photographs,3,0,1,30/09/2017,19/10/2017,13/10/2017,13/03/2018,,Structural Survey Audit,MS Tower v6
Status Set,1012,Keko,39.27878,-6.83412,Structure-Lattice Tower,35,Helios Tanzania,9/2/2018,"V2_Structural Analysis_PMcC. 	",Amber,,,NI,Green,98,16.4,,Amber,118,19.5,,Amber,133,22.7,,NotSet,,,,,Amber,Green,98,94,8,52,39,6,,,31,Amber,118,108,8,62,43,6,,,37,Amber,133,129,8,69,47,6,,,41,,,,NI,235,235,,DelmecInspected,1,C,4,2,2,27,,2,0,1,26/01/2018,9/2/2018,6/2/2018,13/03/2018,,Structural Survey Audit,MS Tower v6
Status Set,1013,Tandika,39.26374,-6.86443,Structure-Lattice Tower,35,Helios Tanzania,22/10/2018,"V2_Structural Analysis_LAG. 	",Amber,,,NI,Green,81,9.8,,Green,98,13,,Amber,120,16.2,,NotSet,,,,,Amber,Green,45,81,4,32,29,4,,,19,Green,58,98,4,42,36,4,,,25,Amber,67,120,5,50,43,4,,,29,,,,NI,235,235,,DelmecInspected,1,C,4,2,2,27,,2,0,1,9/10/2018,22/10/2018,18/10/2018,13/03/2018,,Structural Survey Audit,MS Tower v6
Status Set,1014,Siemens,39.2531,-6.83892,Structure-Lattice Tower,30,Helios Tanzania,7/2/2018,V3_Structural Analysis_NE. ,Amber,,,NI,Green,39,9.4,,Green,62,12.6,,Green,62,15.7,,NotSet,,,,,Amber,Green,27,39,3,18,17,2,,,14,Green,35,62,4,28,24,3,,,17,Green,40,62,4,28,24,3,,,,,,,NI,235,235,,DelmecInspected,1,B,3,2,2,27,,3,0,1,2/2/2018,7/2/2018,21/05/2018,28/02/2018,,TSS Audit,MS Tower v6
Status Set,1015,Kigogo,39.24598,-6.81022,Structure-Lattice Tower,36.82,Helios Tanzania,1/11/2018,"V3_Structural Analysis_BLS. 	",Amber,,,NI,Green,57,5.7,,Green,65,8.9,,Green,73,12,,NotSet,,,,,Amber,Green,37,43,57,54,48,21,,,25,Green,45,58,63,65,54,24,,,30,Green,51,72,71,73,59,30,,,34,,,,NI,355,355,,DelmecInspected,1,C,3,5,2,27,,3,0,1,6/10/2018,1/11/2018,26/10/2018,26/11/2018,,Structural Survey Audit,MS Tower v6
Status Set,1016,Magomeni,39.24305,-6.78538,Structure-Lattice Tower,36.61,Helios Tanzania,5/11/2018,"V2_Structural Analysis_DK. 	Equipment added: 3no. GSM Antennas 2.4384x0.3112x0.1207 @Same as existing antennam,1no. RRUs 0.42x0.4x0.115 @29m, [RFI 29/10/2019]",Amber,,,NI,Green,66,9.5,,Green,74,12.7,,NotSet,,,,NotSet,,,,Pass,Amber,Green,43,53,66,64,55,24,,,30,Green,49,68,74,73,61,27,,,34,NotSet,,,,,,,,,,,,,NI,355,355,,DelmecInspected,1,C,3,2,2,27,,2,0,1,10/10/2018,5/11/2018,1/11/2018,31/01/2019,,Structural Survey Audit,MS Tower v6
Status Set,1017,Kurasini,39.29135,-6.8434,Structure-Lattice Tower,35,Helios Tanzania,13/02/2018,"V3_Structural Analysis_E.C. 	",Amber,,,NI,Green,85,12.6,,Green,100,15.8,,Amber,113,18.9,,NotSet,,,,,Amber,Green,77,85,4,39,33,4,,,27,Green,95,100,5,47,39,4,,,33,Amber,108,113,6,54,43,5,,,38,,,,NI,275,235,,DelmecInspected,1,C,2,2,2,27,,3,0,1,26/01/2018,13/02/2018,9/2/2018,13/03/2018,,Structural Survey Audit,MS Tower v6
Status Set,1019,Oysterbay,39.27525,-6.768,Structure-Lattice Tower,35,Helios Tanzania,15/08/2018,V3_Structural Analysis_PMcC. Members overstressed,Amber,17.00970954,21.90563241,NI,Amber,130,20.6,,Red,160,23.8,,Red,166,27,,NotSet,,,,Fail,Amber,Amber,130,128,8,69,48,5,,,41,Red,160,143,9,79,54,6,,,46,Red,166,151,10,86,59,7,,,50,,,,NI,235,235,,DelmecInspected,1,C,3,2,2,27,,3,0,1,7/8/2018,15/08/2018,13/08/2018,3/7/2023,,Structural Survey Audit,MS Tower v6
Status Set,1020,Uhuru,39.2792,-6.82121,Rooftop-Guyed Mast,27,Helios Tanzania,22/12/2016,V1.0_Structural Analysis_AG,Amber,,,NI,Green,14,4.7,,Green,20,5.6,,Green,39,7.9,,NotSet,,,,NotSet,Amber,Green,14,,,,,,7,,26,Green,20,,,,,,8,,30,Green,39,,,,,,8,,36,,,,NI,235,,,DelmecInspected,1,B,3,3,2,27,,0,0,1,29/11/2016,22/12/2016,9/12/2016,19/12/2016,,Structural Survey Audit,MS Tower v6
Decommissioned,1021,Regent Estate,39.2581,-6.77816,Structure-Lattice Tower,35,Helios Tanzania,19/03/2014,There is no need to strengthen this tower,Amber,,,NI,Green,,,,Green,76,,,NotSet,,,,NotSet,,,,,Amber,Green,,,,,,,,,,Green,76,44,,22,28,,,,9,NotSet,,,,,,,,,,,,,NI,345,248,,Unaudited,1,B,3,2,2,27,No Site Photographs,1,0,1,19/03/2014,19/03/2014,,,,,MS Tower v6
